library_index,id,name,status,cuisine,family_id,form,staples,core_ingredients,unknown_role,optional_ingredients,generation_optional_ingredients,liquid_ingredients,substitution_slots,discouraged,technique,ratio_rules,safety_rules,total_time_minutes,purposes,source_count,static_status,verification_status,missing_fields
29,xinjiang-vegetable-pilaf,新疆素抓饭,auto_approved,新疆菜,family-northwest-grain-rice,焖饭,大米,洋葱｜胡萝卜,,熟鹰嘴豆,熟鹰嘴豆,水,"{""slot"":""胡萝卜"",""replaces"":[""胡萝卜""],""allowed"":[""黄胡萝卜"",""红萝卜""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}",洋葱和胡萝卜先在锅中加热形成底味并观察含水。｜米与量好的液体焖熟，熟鹰嘴豆仅在后段加热透。,每100克大米使用120至145克可用总液体，必须记录洋葱与胡萝卜的实际出水。,鹰嘴豆只能使用已经完全煮熟的成品，并在锅中再次加热透。｜最终液体必须在记录洋葱和胡萝卜出水后确定。,40,pantry｜fresh｜batch,1,complete,pending,
30,shaanbei-red-date-cowpea-rice,陕北红枣豇豆焖饭,auto_approved,陕北菜,family-northwest-grain-rice,焖饭,大米,去核红枣｜豇豆,豇豆,小米,小米,水,"{""slot"":""主粮"",""replaces"":[""大米""],""allowed"":[""小米"",""大米与小米混合""]}","{""ingredients"":[""夹生豆类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",逐颗确认红枣去核，豇豆先加热至安全熟制。｜加入主粮与量好的液体同锅焖至熟透。,每100克主粮使用130至155克可用总液体，红枣的浸润水分须计入记录。,豇豆必须完全熟透后才可食用。｜红枣必须逐颗确认已去核，发现枣核即停止食用。,45,pantry｜batch,1,complete,pending,
31,qinghai-hao-fan,青海熬饭风味家庭适配版,auto_approved,河湟饮食,family-northwest-grain-rice,熬煮饭,,小米｜土豆｜熟鹰嘴豆,,小白菜,小白菜,水,"{""slot"":""豆类"",""replaces"":[""熟鹰嘴豆""],""allowed"":[""熟白芸豆""]}","{""ingredients"":[""夹生豆类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",逐项核对谷物、土豆、豆类和叶菜的食品名称、来源及原始状态。｜持续熬煮至土豆和豆类均无硬芯，再记录稠度。,稠度只以本轮谷物、土豆和豆类吸水记录调整。｜首轮不加入任何未经身份与可食性核验的区域植物。,条目名称与展示必须明确写为“青海熬饭风味家庭适配版”；本家庭适配版不声称复刻青海熬饭的传统成品。｜每种主料必须记录明确食品名称、购买来源和可食用依据；身份不明或未经核验的区域植物不得使用。｜土豆必须熟透、无硬芯后才可食用，并留存原始状态与熟制检查。｜豆类及可选叶菜必须记录过敏原或不耐受声明；未声明不得作为试做对象。｜成品仅限当餐食用；留存必须记录冷却、冷藏和再次加热状态。,45,pantry｜fresh｜batch,1,complete,pending,
32,shanxi-potato-rice,山西岚县土豆饭,auto_approved,晋菜,family-northwest-grain-rice,焖饭,大米,土豆,,小白菜,小白菜,水,"{""slot"":""主粮"",""replaces"":[""大米""],""allowed"":[""小米"",""燕麦米""]}","{""ingredients"":[""夹生豆类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",土豆切成大小一致的块，与主粮及量好的液体同锅焖煮。｜临近完成时检查锅底和土豆中心，叶菜仅在后段加入。,每100克主粮使用130至160克可用总液体，土豆的切块大小须与熟透检查一并记录。,土豆中心必须完全熟透，不得有硬芯。｜焖煮期间须按锅具特性检查锅底，出现粘锅或焦糊征兆即停止加热并记录。,40,pantry｜batch,1,complete,pending,
33,shanxi-nitun-millet-rice,山西泥屯小米饭,auto_approved,晋菜,family-northwest-grain-rice,小米饭,,小米｜土豆,,熟鹰嘴豆｜小白菜,熟鹰嘴豆｜小白菜,水,"{""slot"":""可选配料"",""replaces"":[""小白菜""],""allowed"":[""熟鹰嘴豆""]}","{""ingredients"":[""夹生豆类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",小米洗净后与量好的液体和土豆同锅加热。｜可选熟豆类或叶菜只在主体接近熟透时加入并加热透。,每100克小米使用160至200克可用总液体，每轮必须原样记录小米与液体重量。,土豆必须达到可轻易压碎的熟透状态。｜未记录小米重量、液体重量和土豆熟度的试做不得进入下一轮调整。,40,pantry｜batch,1,complete,pending,
34,tibetan-savory-congee,藏式咸稀饭风味家庭适配版,auto_approved,藏族饮食,family-regional-grain-specialties,稀饭,大米,牛奶,牛奶,小白菜,小白菜,水,"{""slot"":""乳制品"",""replaces"":[""牛奶""],""allowed"":[""无糖豆浆（有明确成分标签）""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}",先核对乳制品或替代品的成分、过敏原和原始状态。｜小火煮至谷物熟软并记录成品状态，不把未记录的留存样品作为评价依据。,稠度和咸味只依据本轮试做记录调整。｜乳制品或替代品未完成过敏原范围声明时不得加入。,条目名称与展示必须明确写为“藏式咸稀饭风味家庭适配版”；本家庭适配版不声称复刻藏式咸稀饭的传统成品。｜使用乳制品时必须明确乳及相关过敏原范围；使用替代品时也必须记录完整成分和过敏原信息。｜谷物必须煮熟软、无硬芯并记录成品稠度与原始生熟状态。｜成品仅限当餐食用；如需留存，必须记录冷却、冷藏和再次加热状态，未记录不得留存。,45,pantry｜batch,1,complete,pending,
35,tibetan-gutu,古突风味家庭适配版,auto_approved,藏族饮食,family-regional-grain-specialties,面食汤,小麦面团,小白菜｜水,,鲜香菇,鲜香菇,水,"{""slot"":""蔬菜"",""replaces"":[""小白菜""],""allowed"":[""胡萝卜""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}",先记录面粉、蔬菜和食用菌的来源、原始状态及过敏原。｜将面团煮至内部无生粉后再加入蔬菜，完成后记录食用与留存状态。,面团状态和汤体稠度只按本轮记录调整。｜不加入节庆象征物、隐藏物或任何仪式性替代物。,条目名称与展示必须明确写为“古突风味家庭适配版”；不得宣称、模拟或复刻节庆仪式、象征物、占卜内容或传统成品。｜面团必须煮至内部无生粉、无夹生后才可食用，并记录原始状态与熟制检查。｜必须记录小麦及可选食用菌等食材的过敏原声明。｜成品仅限当餐食用；留存必须记录冷却、冷藏和再次加热状态。,45,pantry｜fresh,1,complete,pending,
36,tibetan-ginseng-fruit-rice,西藏人参果饭,auto_approved,藏族饮食,family-regional-grain-specialties,焖饭,大米,食品级蕨麻,食品级蕨麻,红枣,红枣,水,"{""slot"":""干果"",""replaces"":[""红枣""],""allowed"":[""葡萄干""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}",先核对蕨麻的准确食品名称、食品级标签、购买来源和原始状态。｜与谷物同锅加热至均熟，再记录口感和湿度。,蕨麻吸水和谷物熟制只以本轮记录调整。｜食品级蕨麻身份未核实前不得试做。,必须先确认蕨麻的准确食品名称、食品级标签、可食用依据和购买来源；身份不明不得使用。｜不得出现药用、保健、治疗或功效宣称。｜蕨麻与谷物必须熟透、无硬芯后才可食用，并记录原始状态与熟制检查。｜必须记录蕨麻、谷物和可选干果的过敏原声明；成品留存时必须记录冷却、冷藏和再次加热状态。,45,pantry｜batch,1,complete,pending,
37,guangxi-five-color-glutinous-rice,广西壮族五色糯米饭,auto_approved,壮族饮食,family-regional-grain-specialties,糯米饭,,糯米｜食品级紫薯粉｜食品级甜菜粉｜食品级菠菜粉｜食品级南瓜粉,糯米｜食品级紫薯粉｜食品级甜菜粉｜食品级菠菜粉｜食品级南瓜粉,椰奶,椰奶,水,"{""slot"":""着色方案"",""replaces"":[""食品级紫薯粉"",""食品级甜菜粉"",""食品级菠菜粉"",""食品级南瓜粉""],""allowed"":[""不加着色粉，改做原味糯米饭""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}｜{""ingredients"":[""不明植物色源""],""reason_type"":""safety"",""reason"":""着色原料必须是本条目列明且有食品级标签的粉料。""}",将糯米分为原色、紫薯粉、甜菜粉、菠菜粉和南瓜粉五份，逐一核对四种粉料的食品级标签、明确名称和来源。｜分别记录五份糯米的吸水状态后蒸熟，并保留颜色与口感观察。,每种颜色的浸润和蒸煮条件只按试做记录校准，不公布或假定传统标准。｜不得用装饰染料替代食品级色源。,紫薯粉、甜菜粉、菠菜粉和南瓜粉必须逐项确认食品级、可食用和来源可追溯；不得使用装饰染料或其他未列明色料。｜四种着色粉及可选椰奶均须记录明确食品名称、购买来源和配料标签。｜糯米必须蒸熟至无硬芯后才可食用。｜若有咸味配料，必须尝味后才决定是否补盐。｜若使用油脂，必须记录种类和加入决定；未记录不得归为无脂。｜必须分别记录各色糯米的吸水状态和成品干湿，避免以颜色掩盖夹生或过湿。,50,pantry｜batch,1,complete,pending,
38,she-people-black-rice,畲族乌饭风味家庭适配版,auto_approved,畲族饮食,family-regional-grain-specialties,糯米饭,,糯米｜食品级黑米色粉,糯米｜食品级黑米色粉,南瓜子,南瓜子,水,"{""slot"":""植物色源"",""replaces"":[""食品级黑米色粉""],""allowed"":[""食品级紫薯粉""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}｜{""ingredients"":[""不明植物色源""],""reason_type"":""safety"",""reason"":""色源必须是条目列明且有食品级标签的原料。""}",先核对植物色源的植物身份、食品级证明、来源和可食用依据。｜记录糯米浸泡与漂洗状态后蒸熟，检查无硬芯。,浸润、漂洗和蒸煮状态只按本轮记录调整。｜不得用装饰染料、身份不明叶片或未核验色源。,植物色源必须记录准确植物身份、食品级证明、购买来源和可食用依据；不明叶片或装饰染料不得使用。｜必须记录糯米浸泡、漂洗、原始状态及用水观察；未记录不得评价该轮。｜糯米必须蒸熟至无硬芯后才可食用。｜必须记录色源及可选坚果或种子的过敏原声明；成品留存时记录冷却、冷藏和再次加热状态。,45,pantry｜batch,1,complete,pending,
39,banshan-wild-rice,半山野米饭风味平菇焖饭,auto_approved,杭州菜,family-regional-grain-specialties,焖饭,大米,平菇,,鲜香菇,鲜香菇,水,"{""slot"":""食用菌"",""replaces"":[""平菇""],""allowed"":[""鲜香菇""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}",核对大米、平菇和可选鲜香菇的明确食品名称、购买来源和原始状态。｜大米与平菇同锅加热至米粒无硬芯、食用菌完全熟制，再记录湿度。,标准版使用平菇；只可按替代槽整体改用鲜香菇。｜大米与食用菌的含水只以本轮记录校准。,只可使用明确标示为平菇或鲜香菇的常见市售食用菌；不得采集或使用任何野采菌菇、野菜或其他野采食材。｜大米和食用菌必须加热至米粒无硬芯、菌菇完全熟制后才可食用。｜必须记录平菇或鲜香菇的食品名称、购买来源和过敏原声明。｜成品仅限当餐食用；留存必须记录冷却、冷藏和再次加热状态。,40,pantry｜fresh,1,complete,pending,
40,dai-pineapple-purple-rice,傣族菠萝紫米饭,auto_approved,傣族饮食,family-regional-grain-specialties,紫米饭,,紫米｜菠萝,紫米｜菠萝,椰奶,椰奶,水,"{""slot"":""水果"",""replaces"":[""菠萝""],""allowed"":[""芒果""]}","{""ingredients"":[""未列入标准边界的高含水食材""],""reason_type"":""texture_water"",""reason"":""额外出水会破坏本配方的定量控湿规则。""}",先完成紫米主体熟制，再在后段加入菠萝并观察出水。｜椰浆或椰子制品仅在已声明椰子过敏原时作为可选项使用。,液体以紫米预处理和菠萝出水的实际记录校准。｜如使用椰浆或椰子制品，必须先完成过敏原声明。,菠萝必须后段加入并记录出水；出现明显积液时不得把该轮作为质地依据。｜如使用椰浆或其他椰子制品，必须明确声明椰子过敏原；未声明不得加入。｜紫米必须熟透、无硬芯后才可食用。｜菠萝、紫米和可选椰子制品均须记录食品名称与购买来源。｜如使用咸味配料，必须尝味后才决定是否补盐。｜椰浆或其他油脂如有使用，必须记录种类、加入决定和对口感的影响。,45,fresh｜batch,1,complete,pending,
41,guizhou-dong-community-rice,侗家社饭风味家庭适配版,auto_approved,侗族饮食,family-regional-grain-specialties,焖饭,大米,腊五花肉｜姜｜小白菜,姜,油麦菜,油麦菜,水,"{""slot"":""叶菜"",""replaces"":[""小白菜""],""allowed"":[""油麦菜""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",腌肉与香辛料先在锅中加热出香。｜加入米和量好的液体焖制，叶菜在后段加入。,每100克大米使用125至140克可用总液体。｜首轮只使用普通叶菜，已核验可食用的地方叶菜才可进入后续试做。,条目名称与展示必须明确写为“侗家社饭风味家庭适配版”；本家庭适配版不声称为传统社饭或复刻传统成品。｜腌肉必须记录准确食品名称、食品级标签、购买来源和原始生熟状态；身份或状态不明不得使用。｜腌肉中心必须完全熟制、无生肉状态，并保留熟制检查记录。｜地方叶菜须记录准确植物身份、食品级证明、购买来源、可食用依据和原始状态；未核验不得用于试做。｜腌肉必须记录完整成分和过敏原信息，叶菜须完成过敏原声明；未完成审核不得加入。｜腌肉须核对食品级标签和来源并先尝味，再决定补加盐；不得忽略高盐风险。｜成品仅限当餐食用；需保存时必须记录冷却、冷藏和再次加热处理。,45,pantry｜fresh｜batch,1,complete,pending,
42,north-china-green-bean-braised-noodles,北方豆角焖面,auto_approved,北方家常,family-northern-braised-noodles,焖面,鲜小麦面条,豆角｜猪肉末,,蒜末,蒜末,水,"{""slot"":""蛋白质"",""replaces"":[""猪肉末""],""allowed"":[""老豆腐"",""去皮鸡腿肉""]}","{""ingredients"":[""未充分加热的肉类""],""reason_type"":""safety"",""reason"":""会破坏本配方的熟制安全要求。""}",先将豆角与蛋白质加热至完全熟制。｜铺入鲜小麦面条后加盖焖制，起锅前检查锅底湿度。,焖煮液体必须先量取，再分段加入。｜面条入锅前保留少量可见液体，避免干锅或面条泡烂。,豆角与肉类或豆腐必须在面条入锅前达到可安全食用的熟制状态。｜面条蒸焖结束前检查锅底，保持无焦糊且无大量游离液体。｜鲜面条应熟透但不糊断，必要时少量补液。,35,pantry｜fresh,1,complete,pending,
43,home-egg-fried-leftover-rice,家常鸡蛋炒剩饭,auto_approved,中式家常,family-home-fried-rice,炒饭,熟米饭,鸡蛋,,胡萝卜｜香葱,胡萝卜｜香葱,,"{""slot"":""蔬菜配料"",""replaces"":[""胡萝卜""],""allowed"":[""玉米"",""青菜""]}","{""ingredients"":[""室温久放的剩饭""],""reason_type"":""safety"",""reason"":""保存状态不明的剩饭不进入本配方。""}",同锅把鸡蛋炒至蛋白和蛋黄完全凝固后暂盛出。｜原锅炒散熟米饭和蔬菜，再回锅鸡蛋并将整锅充分复热。,每100克熟米饭配30至40克蛋液。｜每300克熟米饭使用不超过15克食用油。,只使用做熟后尽快冷却、一小时内冷藏且冷藏不超过一天的熟米饭。｜熟米饭必须充分复热且全锅中心达到74摄氏度。｜鸡蛋必须熟透，蛋白和蛋黄完全凝固，不得流心。,20,pantry｜quick｜comfort,1,complete,pending,
44,tomato-egg-stewed-leftover-rice,番茄鸡蛋烩剩饭,auto_approved,中式家常,family-home-stewed-rice,烩饭,熟米饭,番茄｜鸡蛋,,香葱,香葱,水,"{""slot"":""番茄"",""replaces"":[""番茄""],""allowed"":[""西红柿""]}","{""ingredients"":[""室温久放的剩饭""],""reason_type"":""safety"",""reason"":""保存状态不明的剩饭不进入本配方。""}",同锅把番茄煮出汤汁。｜加入熟米饭充分复热，淋入鸡蛋液并煮至蛋白和蛋黄完全凝固。,每100克熟米饭使用60至80克番茄汤汁。｜每100克熟米饭配25至35克蛋液。,只使用做熟后尽快冷却、一小时内冷藏且冷藏不超过一天的熟米饭。｜熟米饭必须充分复热且全锅中心达到74摄氏度。｜鸡蛋必须熟透，蛋白和蛋黄完全凝固，不得流心。,25,pantry｜quick｜comfort,1,complete,pending,
45,greens-egg-braised-leftover-rice,青菜鸡蛋焖剩饭,auto_approved,中式家常,family-home-braised-rice,焖饭,熟米饭,青菜｜鸡蛋,,香葱,香葱｜小白菜｜小油菜,水,"{""slot"":""叶菜"",""replaces"":[""青菜""],""allowed"":[""小白菜"",""小油菜""]}","{""ingredients"":[""室温久放的剩饭""],""reason_type"":""safety"",""reason"":""保存状态不明的剩饭不进入本配方。""}",同锅把鸡蛋炒至蛋白和蛋黄完全凝固后暂盛出。｜原锅放熟米饭和少量水加盖充分复热，再加入青菜与鸡蛋焖匀。,每100克熟米饭使用35至50克青菜。｜每100克熟米饭补入约20克水形成短时蒸汽。,只使用做熟后尽快冷却、一小时内冷藏且冷藏不超过一天的熟米饭。｜熟米饭必须充分复热且全锅中心达到74摄氏度。｜鸡蛋必须熟透，蛋白和蛋黄完全凝固，不得流心。,25,pantry｜quick｜comfort,1,complete,pending,
46,mushroom-egg-covered-leftover-rice,香菇鸡蛋焖剩饭,auto_approved,中式家常,family-home-covered-pot,饭锅,熟米饭,鲜香菇｜鸡蛋,,香葱,香葱｜口蘑｜平菇,水,"{""slot"":""食用菌"",""replaces"":[""鲜香菇""],""allowed"":[""口蘑"",""平菇""]}","{""ingredients"":[""室温久放的剩饭""],""reason_type"":""safety"",""reason"":""保存状态不明的剩饭不进入本配方。""}",同锅把鲜香菇炒软，并把鸡蛋炒至蛋白和蛋黄完全凝固。｜加入熟米饭和少量水，加盖焖至全锅充分复热。,每100克熟米饭使用约35克鲜食用菌。｜每100克熟米饭补入约20克水形成短时蒸汽。,只使用做熟后尽快冷却、一小时内冷藏且冷藏不超过一天的熟米饭。｜熟米饭必须充分复热且全锅中心达到74摄氏度。｜鸡蛋必须熟透，蛋白和蛋黄完全凝固，不得流心。,25,pantry｜quick｜comfort,1,complete,pending,
47,shrimp-egg-fried-leftover-rice,虾仁鸡蛋炒剩饭,auto_approved,中式家常,family-home-fried-rice,炒饭,熟米饭,虾仁｜鸡蛋,虾仁,玉米｜香葱,玉米｜香葱｜胡萝卜｜青豆,,"{""slot"":""蔬菜配料"",""replaces"":[""玉米""],""allowed"":[""胡萝卜"",""青豆""]}","{""ingredients"":[""室温久放的剩饭""],""reason_type"":""safety"",""reason"":""保存状态不明的剩饭不进入本配方。""}",同锅把虾仁炒至珠白不透明，并把鸡蛋炒至蛋白和蛋黄完全凝固后暂盛出。｜原锅炒散熟米饭，再回锅虾仁和鸡蛋并将整锅充分复热。,每100克熟米饭配约25克虾仁和30克蛋液。｜每300克熟米饭使用不超过15克食用油。,只使用做熟后尽快冷却、一小时内冷藏且冷藏不超过一天的熟米饭。｜熟米饭必须充分复热且全锅中心达到74摄氏度。｜虾仁必须由半透明变为珠白不透明；鸡蛋必须熟透，蛋白和蛋黄完全凝固，不得流心。,25,pantry｜quick｜fresh,1,complete,pending,
48,broccoli-beef-fried-rice,西兰花牛肉炒饭,auto_approved,中式家常,family-home-fried-rice,炒饭,熟米饭,西兰花｜牛肉,,洋葱,洋葱｜胡萝卜,,"{""slot"":""香味蔬菜"",""replaces"":[""洋葱""],""allowed"":[""胡萝卜""]}","{""ingredients"":[""大块牛肉""],""reason_type"":""timing"",""reason"":""过大肉块难以在炒饭时限内均匀达到中心安全终点。""}",同锅把切小片的牛肉炒至中心达到74摄氏度后暂盛出。｜原锅炒熟西兰花与熟米饭，再回锅牛肉翻匀。,每100克熟米饭配约30克牛肉和40克西兰花。｜每300克熟米饭使用不超过15克食用油。,牛肉中心必须达到74摄氏度且无生肉色。｜西兰花洗净后彻底受热，冷藏熟米饭使用时必须充分复热。,30,pantry｜quick｜fresh,1,complete,pending,
49,broccoli-beef-braised-rice,西兰花牛肉焖饭,auto_approved,中式家常,family-home-braised-rice,焖饭,大米,西兰花｜牛肉,,胡萝卜,胡萝卜｜玉米,水,"{""slot"":""配色蔬菜"",""replaces"":[""胡萝卜""],""allowed"":[""玉米""]}","{""ingredients"":[""大块牛肉""],""reason_type"":""timing"",""reason"":""肉块过大会使米饭熟度与肉类中心终点难以同步。""}",同锅加入大米、量好的水和切小块牛肉，加盖焖至接近熟透。｜后段加入西兰花，继续加盖至米饭熟透且牛肉中心达到74摄氏度。,每100克大米使用约135克可用总液体。｜每100克大米配约35克牛肉和45克西兰花。,牛肉中心必须达到74摄氏度且无生肉色。｜米饭不得夹生，西兰花洗净并彻底受热。,40,pantry｜fresh｜batch,1,complete,pending,
50,tomato-broccoli-beef-stewed-rice,番茄西兰花牛肉烩饭,auto_approved,中式家常,family-home-stewed-rice,烩饭,熟米饭,番茄｜西兰花｜牛肉,,洋葱,洋葱｜胡萝卜,水,"{""slot"":""香味蔬菜"",""replaces"":[""洋葱""],""allowed"":[""胡萝卜""]}","{""ingredients"":[""过量额外汤水""],""reason_type"":""texture_water"",""reason"":""额外汤水会稀释番茄汤汁并使熟米饭失去烩饭质地。""}",同锅把番茄、牛肉和量好的水煮至牛肉中心达到74摄氏度。｜加入熟米饭和西兰花，烩至米饭热透且西兰花熟软。,每100克熟米饭使用约70克番茄汤汁。｜每100克熟米饭配约30克牛肉和35克西兰花。,牛肉中心必须达到74摄氏度且无生肉色。｜整锅持续滚热，西兰花彻底受热后食用。,35,pantry｜comfort｜fresh,1,complete,pending,
51,broccoli-beef-soup-noodles,西兰花牛肉汤面,auto_approved,中式家常,family-home-soup-staple,汤面,面条,西兰花｜牛肉,,香葱,香葱｜挂面,水,"{""slot"":""面条"",""replaces"":[""面条""],""allowed"":[""挂面""]}","{""ingredients"":[""宽厚牛肉块""],""reason_type"":""timing"",""reason"":""宽厚肉块会延长汤面时间并增加中心未熟风险。""}",同锅把切小片的牛肉煮至中心达到74摄氏度。｜加入面条煮熟，后段加入西兰花煮至熟软。,每100克干面条使用约550克汤水。｜每100克干面条配约60克牛肉和80克西兰花。,牛肉中心必须达到74摄氏度且无生肉色。｜面条无硬芯，西兰花洗净并彻底受热。,30,pantry｜quick｜comfort,1,complete,pending,
52,potato-broccoli-beef-covered-rice,土豆西兰花牛肉饭锅,auto_approved,中式家常,family-home-covered-pot,饭锅,大米,土豆｜西兰花｜牛肉,,胡萝卜,胡萝卜｜玉米,水,"{""slot"":""配色蔬菜"",""replaces"":[""胡萝卜""],""allowed"":[""玉米""]}","{""ingredients"":[""发芽土豆""],""reason_type"":""safety"",""reason"":""发芽或明显变绿的土豆不进入本配方。""}",同锅加入大米、量好的水、切小块土豆和牛肉，加盖焖煮。｜接近熟透时加入西兰花，继续加盖至米饭、土豆熟透且牛肉中心达到74摄氏度。,每100克大米使用约140克可用总液体。｜土豆切小块并控制在每100克大米约50克。,牛肉中心必须达到74摄氏度且无生肉色。｜土豆无硬芯且不得使用发芽或明显变绿的土豆，米饭不得夹生。,45,pantry｜comfort｜batch,1,complete,pending,
53,greens-tofu-fried-rice,青菜豆腐炒饭,auto_approved,中式家常,family-home-fried-rice,炒饭,熟米饭,老豆腐｜青菜,,香葱,香葱｜小白菜｜小油菜,,"{""slot"":""叶菜"",""replaces"":[""青菜""],""allowed"":[""小白菜"",""小油菜""]}","{""ingredients"":[""嫩豆腐大块""],""reason_type"":""texture_water"",""reason"":""含水较高且易碎的豆腐不适合本炒饭结构。""}",同锅把老豆腐煎至表面定型。｜加入熟米饭炒热，后段加入青菜并炒至熟软。,每100克熟米饭配约45克老豆腐和35克青菜。｜每300克熟米饭使用不超过15克食用油。,老豆腐中心必须热透。｜青菜洗净并炒至熟软，冷藏熟米饭使用时必须充分复热。,25,pantry｜quick｜fresh,1,complete,pending,
54,cabbage-tofu-braised-rice,白菜豆腐焖饭,auto_approved,中式家常,family-home-braised-rice,焖饭,大米,老豆腐｜白菜,,鲜香菇,鲜香菇｜娃娃菜｜青菜,水,"{""slot"":""白菜"",""replaces"":[""白菜""],""allowed"":[""娃娃菜"",""青菜""]}","{""ingredients"":[""嫩豆腐大块""],""reason_type"":""texture_water"",""reason"":""含水过高且易碎的豆腐会影响焖饭含水与完整度。""}",同锅加入大米、量好的水与老豆腐，加盖焖煮。｜米饭接近熟透时加入白菜或用户提供的替代叶菜，继续焖至全部熟软。,每100克大米使用约130克可用总液体。｜每100克大米配约60克老豆腐和50克白菜或替代叶菜。,米饭不得夹生，老豆腐中心必须热透。｜白菜或替代叶菜须洗净并熟软。,35,pantry｜fresh｜batch,1,complete,pending,
55,tomato-tofu-stewed-rice,番茄青菜豆腐烩饭,auto_approved,中式家常,family-home-stewed-rice,烩饭,熟米饭,番茄｜老豆腐,,香葱｜青菜,香葱｜青菜｜西红柿,水,"{""slot"":""番茄"",""replaces"":[""番茄""],""allowed"":[""西红柿""]}","{""ingredients"":[""过量额外汤水""],""reason_type"":""texture_water"",""reason"":""额外液体会使番茄烩饭过稀。""}",同锅把番茄煮出汤汁并加入老豆腐热透。｜加入熟米饭烩至吸汁，使用青菜时后段加入并将全锅煮至滚热。,每100克熟米饭使用约70克番茄汤汁。｜每100克熟米饭配约50克老豆腐；使用青菜时控制在30至40克。,老豆腐中心必须热透，整锅持续滚热后食用。｜使用青菜时必须洗净并煮至熟软。,25,pantry｜quick｜comfort,1,complete,pending,
56,greens-tofu-soup-noodles,青菜豆腐汤面,auto_approved,中式家常,family-home-soup-staple,汤面,面条,老豆腐｜青菜,,鲜香菇,鲜香菇｜小白菜｜小油菜,水,"{""slot"":""叶菜"",""replaces"":[""青菜""],""allowed"":[""小白菜"",""小油菜""]}","{""ingredients"":[""需预先泡发的干货""],""reason_type"":""timing"",""reason"":""本配方不使用需要另行提前处理的食材。""}",同锅煮沸量好的水并加入老豆腐。｜加入面条煮熟，后段加入青菜并煮至熟软。,每100克干面条使用约550克汤水。｜每100克干面条配约70克老豆腐和60克青菜。,老豆腐中心必须热透。｜面条无硬芯，青菜洗净并煮至熟软。,25,pantry｜quick｜comfort,1,complete,pending,
57,mushroom-greens-tofu-covered-rice,香菇青菜豆腐饭锅,auto_approved,中式家常,family-home-covered-pot,饭锅,大米,鲜香菇｜老豆腐｜青菜,,香葱,香葱｜小白菜｜小油菜,水,"{""slot"":""叶菜"",""replaces"":[""青菜""],""allowed"":[""小白菜"",""小油菜""]}","{""ingredients"":[""干香菇未泡发""],""reason_type"":""timing"",""reason"":""本配方锁定鲜食用菌，不引入未计时的提前泡发步骤。""}",同锅加入大米、量好的水、鲜香菇与老豆腐，加盖焖煮。｜米饭接近熟透时加入青菜，继续加盖至全部熟软。,每100克大米使用约135克可用总液体。｜每100克大米配约45克老豆腐和30克鲜香菇。,米饭不得夹生，鲜香菇与老豆腐中心必须热透。｜青菜洗净并焖至熟软。,40,pantry｜fresh｜batch,1,complete,pending,
58,chicken-leg-potato-braised-rice,鸡腿土豆焖饭,auto_approved,中式家常,family-home-braised-rice,焖饭,大米,鸡腿肉｜土豆,,胡萝卜,胡萝卜,水,"{""slot"":""耐煮蔬菜"",""replaces"":[""土豆""],""allowed"":[""胡萝卜""]}","{""ingredients"":[""带骨大鸡腿""],""reason_type"":""timing"",""reason"":""本配方锁定切小块鸡腿肉，避免肉类与米饭熟度不同步。""}",同锅加入大米、量好的水、鸡腿肉小块与土豆小块，加盖焖煮。｜开盖核对米饭和土豆熟度，并确认鸡腿肉最厚处中心达到74摄氏度。,每100克大米使用约140克可用总液体。｜每100克大米配约60克鸡腿肉和50克土豆。,鸡腿肉最厚处中心必须达到74摄氏度且无粉红生肉。｜米饭和土豆不得夹生，不得使用发芽或明显变绿的土豆。,45,pantry｜comfort｜batch,1,complete,pending,
